year,month,product,district,price
2021,yanvar,Oliy navli bug'doy uni,Shahar bo'yicha,6984.530075
2021,yanvar,Olma,Bektemir,10557.5
2021,yanvar,Olma,Mirobod,17000.0
2021,yanvar,Olma,Yakkasaroy,14200.0
2021,yanvar,Olma,Yangihayot,0.0
2021,yanvar,Olma,Chilonzor,12450.0
2021,yanvar,Olma,Mirzo Ulug'bek,13900.0
2021,yanvar,Olma,Olmazor,10795.35715
2021,yanvar,Olma,Sirg'ali,11016.66665
2021,yanvar,Olma,Shayxontoxur,15600.0
2021,yanvar,Olma,Uchtepa,12575.0
2021,yanvar,Olma,Yashnobod,20351.5625
2021,yanvar,Olma,Yunusobod,13950.0
2021,yanvar,Olma,Shahar bo'yicha,14395.6374
2021,yanvar,Parranda go'shti,Bektemir,23785.714249999997
2021,yanvar,Parranda go'shti,Mirobod,27894.44445
2021,yanvar,Parranda go'shti,Yakkasaroy,23722.222225
2021,yanvar,Parranda go'shti,Yangihayot,0.0
2021,yanvar,Parranda go'shti,Chilonzor,25500.0
2021,yanvar,Parranda go'shti,Mirzo Ulug'bek,26200.0
2021,yanvar,Parranda go'shti,Olmazor,26940.625
2021,yanvar,Parranda go'shti,Sirg'ali,27700.0
2021,yanvar,Parranda go'shti,Shayxontoxur,26737.5
2021,yanvar,Parranda go'shti,Uchtepa,27082.142874999998
2021,yanvar,Parranda go'shti,Yashnobod,26200.0
2021,yanvar,Parranda go'shti,Yunusobod,24300.0
2021,yanvar,Parranda go'shti,Shahar bo'yicha,26021.8874
2021,yanvar,"Paxta yog'i, 1 litr",Bektemir,14293.402775
2021,yanvar,"Paxta yog'i, 1 litr",Mirobod,13093.33335
2021,yanvar,"Paxta yog'i, 1 litr",Yakkasaroy,0.0
2021,yanvar,"Paxta yog'i, 1 litr",Yangihayot,0.0
2021,yanvar,"Paxta yog'i, 1 litr",Chilonzor,14550.0
2021,yanvar,"Paxta yog'i, 1 litr",Mirzo Ulug'bek,15375.0
2021,yanvar,"Paxta yog'i, 1 litr",Olmazor,15374.999974999999
2021,yanvar,"Paxta yog'i, 1 litr",Sirg'ali,14000.0
2021,yanvar,"Paxta yog'i, 1 litr",Shayxontoxur,16364.2857
2021,yanvar,"Paxta yog'i, 1 litr",Uchtepa,11400.0
2021,yanvar,"Paxta yog'i, 1 litr",Yashnobod,7392.5
2021,yanvar,"Paxta yog'i, 1 litr",Yunusobod,15650.0
2021,yanvar,"Paxta yog'i, 1 litr",Shahar bo'yicha,14488.602149999999
2021,yanvar,Piyoz,Bektemir,2091.666675
2021,yanvar,Piyoz,Mirobod,2507.5
2021,yanvar,Piyoz,Yakkasaroy,2250.0
2021,yanvar,Piyoz,Yangihayot,0.0
2021,yanvar,Piyoz,Chilonzor,2180.0
2021,yanvar,Piyoz,Mirzo Ulug'bek,2750.0
2021,yanvar,Piyoz,Olmazor,2500.0
2021,yanvar,Piyoz,Sirg'ali,2375.0
2021,yanvar,Piyoz,Shayxontoxur,2456.25
2021,yanvar,Piyoz,Uchtepa,2083.33335
2021,yanvar,Piyoz,Yashnobod,2416.6666499999997
2021,yanvar,Piyoz,Yunusobod,1900.0
2021,yanvar,Piyoz,Shahar bo'yicha,2327.25695
2021,yanvar,Pomidor,Bektemir,8287.5
2021,yanvar,Pomidor,Mirobod,11666.6667
2021,yanvar,Pomidor,Yakkasaroy,9803.571425
2021,yanvar,Pomidor,Yangihayot,0.0
2021,yanvar,Pomidor,Chilonzor,9214.285725
2021,yanvar,Pomidor,Mirzo Ulug'bek,11500.0
2021,yanvar,Pomidor,Olmazor,9724.404774999999
2021,yanvar,Pomidor,Sirg'ali,12116.666675
2021,yanvar,Pomidor,Shayxontoxur,10937.5
2021,yanvar,Pomidor,Uchtepa,10749.999975
2021,yanvar,Pomidor,Yashnobod,10619.04765
2021,yanvar,Pomidor,Yunusobod,9937.5
2021,yanvar,Pomidor,Shahar bo'yicha,10431.349199999999
2021,yanvar,Sabzi,Bektemir,2437.5
2021,yanvar,Sabzi,Mirobod,3000.0
2021,yanvar,Sabzi,Yakkasaroy,3000.0
2021,yanvar,Sabzi,Yangihayot,0.0
2021,yanvar,Sabzi,Chilonzor,3000.0
2021,yanvar,Sabzi,Mirzo Ulug'bek,3325.0
2021,yanvar,Sabzi,Olmazor,2831.25
2021,yanvar,Sabzi,Sirg'ali,3000.0
2021,yanvar,Sabzi,Shayxontoxur,3333.3333
2021,yanvar,Sabzi,Uchtepa,2558.3333
2021,yanvar,Sabzi,Yashnobod,2825.0
2021,yanvar,Sabzi,Yunusobod,2960.0
2021,yanvar,Sabzi,Shahar bo'yicha,2924.61805
2021,yanvar,Sariyog',Bektemir,71300.0
2021,yanvar,Sariyog',Mirobod,64000.0
2021,yanvar,Sariyog',Yakkasaroy,70625.0
2021,yanvar,Sariyog',Yangihayot,0.0
2021,yanvar,Sariyog',Chilonzor,71000.0
